variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
corpus_calibrated_softmax,0.05,policy,6,38.766572,0.015784,0.002036,0.013748
corpus_calibrated_softmax,0.05,research,7,257217.916101,0.10112,0.078628,0.022492
corpus_calibrated_softmax,0.05,policy,7,83.472238,0.033987,0.004479,0.029508
corpus_calibrated_softmax,0.05,research,8,70532.522954,0.027728,0.018228,0.0095
corpus_calibrated_softmax,0.05,policy,8,26.434991,0.010763,0.011401,-0.000638
corpus_calibrated_softmax,0.05,research,9,179415.254332,0.070533,0.142829,-0.072296
corpus_calibrated_softmax,0.05,policy,9,88.021084,0.035839,0.03013,0.005709
corpus_calibrated_softmax,0.05,research,10,59105.037488,0.023236,0.006224,0.017012
corpus_calibrated_softmax,0.05,policy,10,18.864264,0.007681,0.000814,0.006867
corpus_calibrated_softmax,0.05,research,11,149743.014072,0.058868,0.077127,-0.018259
corpus_calibrated_softmax,0.05,policy,11,42.15454,0.017164,0.035423,-0.018259
corpus_calibrated_softmax,0.05,research,12,93634.536146,0.03681,0.037825,-0.001015
corpus_calibrated_softmax,0.05,policy,12,23.546972,0.009588,0.004479,0.005109
corpus_calibrated_softmax,0.05,research,13,59301.263959,0.023313,0.020028,0.003285
corpus_calibrated_softmax,0.05,policy,13,395.092403,0.160868,0.155537,0.005331
corpus_calibrated_softmax,0.05,research,14,126230.979154,0.049625,0.034446,0.015179
corpus_calibrated_softmax,0.05,policy,14,98.090031,0.039939,0.002036,0.037903
corpus_calibrated_softmax,0.05,research,15,124233.842538,0.04884,0.039452,0.009388
corpus_calibrated_softmax,0.05,policy,15,75.984116,0.030938,0.002443,0.028495
corpus_calibrated_softmax,0.05,research,16,238534.590585,0.093775,0.074819,0.018956
corpus_calibrated_softmax,0.05,policy,16,1009.60707,0.411078,0.125814,0.285264
corpus_calibrated_softmax,0.05,research,17,33734.826593,0.013262,0.008055,0.005207
corpus_calibrated_softmax,0.05,policy,17,229.133052,0.093295,0.593648,-0.500353
corpus_calibrated_softmax,0.1,research,1,61038.860218,0.023996,0.006102,0.017894
corpus_calibrated_softmax,0.1,policy,1,30.582999,0.012452,0.013844,-0.001392
corpus_calibrated_softmax,0.1,research,2,105979.395532,0.041664,0.030593,0.011071
corpus_calibrated_softmax,0.1,policy,2,66.026314,0.026884,0.006515,0.020369
corpus_calibrated_softmax,0.1,research,3,490793.110947,0.192945,0.2172,-0.024255
