variant,temperature,sdg,research_weighted_mass,policy_weighted_mass,semantic_gap_cosine_distance_384d,hard_semantic_gap_if_available,difference_from_hard_if_available
corpus_calibrated_softmax,0.05,10,59105.037488,453.023682,0.508125,0.349812,0.158313
corpus_calibrated_softmax,0.05,11,149743.014072,1445.1604,0.454751,0.47858,-0.023829
corpus_calibrated_softmax,0.05,12,93634.536146,781.025146,0.413666,0.408311,0.005355
corpus_calibrated_softmax,0.05,13,59301.263959,1936.39917,0.442029,0.406324,0.035705
corpus_calibrated_softmax,0.05,14,126230.979154,1111.141724,0.468274,0.439746,0.028528
corpus_calibrated_softmax,0.05,15,124233.842538,1147.316406,0.392129,0.334238,0.057891
corpus_calibrated_softmax,0.05,16,238534.590585,4200.956055,0.440239,0.280726,0.159513
corpus_calibrated_softmax,0.05,17,33734.826593,1272.210693,0.291548,0.51809,-0.226542
corpus_calibrated_softmax,0.1,1,61038.860218,644.071655,0.501188,0.419586,0.081602
corpus_calibrated_softmax,0.1,2,105979.395532,947.276123,0.373157,0.345234,0.027923
corpus_calibrated_softmax,0.1,3,490793.110947,1936.718628,0.436989,0.451921,-0.014932
corpus_calibrated_softmax,0.1,4,309526.093044,1689.479004,0.290437,0.263373,0.027064
corpus_calibrated_softmax,0.1,5,100683.802508,1485.599121,0.317462,0.237906,0.079556
corpus_calibrated_softmax,0.1,6,79392.95132,852.940491,0.448274,0.433416,0.014858
corpus_calibrated_softmax,0.1,7,250413.770903,1293.966675,0.556181,0.521503,0.034678
corpus_calibrated_softmax,0.1,8,74988.186425,928.340698,0.357762,0.250727,0.107035
corpus_calibrated_softmax,0.1,9,175722.164125,2062.319336,0.222242,0.258445,-0.036203
corpus_calibrated_softmax,0.1,10,64290.583155,468.134918,0.522255,0.349812,0.172443
corpus_calibrated_softmax,0.1,11,148677.163373,1438.408691,0.453822,0.47858,-0.024758
corpus_calibrated_softmax,0.1,12,96325.411082,795.979858,0.419265,0.408311,0.010954
corpus_calibrated_softmax,0.1,13,64076.902339,1912.410767,0.455277,0.406324,0.048953
corpus_calibrated_softmax,0.1,14,126875.188876,1120.434937,0.468027,0.439746,0.028281
corpus_calibrated_softmax,0.1,15,125468.356409,1151.802734,0.394877,0.334238,0.060639
corpus_calibrated_softmax,0.1,16,230736.292885,4169.374512,0.432852,0.280726,0.152126
corpus_calibrated_softmax,0.1,17,38618.161507,1259.703003,0.332241,0.51809,-0.185849
corpus_calibrated_softmax,0.2,1,73623.645332,671.481934,0.514954,0.419586,0.095368
corpus_calibrated_softmax,0.2,2,116836.267436,965.862671,0.40556,0.345234,0.060326
corpus_calibrated_softmax,0.2,3,427979.518501,1934.61499,0.416978,0.451921,-0.034943
corpus_calibrated_softmax,0.2,4,298999.355639,1716.38208,0.293032,0.263373,0.029659
corpus_calibrated_softmax,0.2,5,114953.044905,1511.985352,0.34543,0.237906,0.107524
corpus_calibrated_softmax,0.2,6,91575.294464,901.597534,0.47748,0.433416,0.044064
corpus_calibrated_softmax,0.2,7,233576.326946,1358.326538,0.541152,0.521503,0.019649
corpus_calibrated_softmax,0.2,8,87189.252923,930.946411,0.394461,0.250727,0.143734
corpus_calibrated_softmax,0.2,9,164964.838356,1974.522705,0.225463,0.258445,-0.032982
corpus_calibrated_softmax,0.2,10,78251.637466,537.365845,0.538702,0.349812,0.18889
corpus_calibrated_softmax,0.2,11,144675.5986,1415.491577,0.450178,0.47858,-0.028402
corpus_calibrated_softmax,0.2,12,104433.04371,847.034302,0.437727,0.408311,0.029416
corpus_calibrated_softmax,0.2,13,78750.584153,1812.501953,0.494282,0.406324,0.087958
corpus_calibrated_softmax,0.2,14,131179.651066,1171.979492,0.473051,0.439746,0.033305
corpus_calibrated_softmax,0.2,15,130251.751712,1187.668701,0.408636,0.334238,0.074398
corpus_calibrated_softmax,0.2,16,211338.681978,4012.570801,0.418207,0.280726,0.137481
corpus_calibrated_softmax,0.2,17,55014.584247,1210.664673,0.444896,0.51809,-0.073194
