variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
corpus_calibrated_softmax,0.03,policy,4,63.036932,0.025667,0.002036,0.023631
corpus_calibrated_softmax,0.03,research,5,91812.608659,0.036094,0.022897,0.013197
corpus_calibrated_softmax,0.03,policy,5,103.646336,0.042201,0.011401,0.0308
corpus_calibrated_softmax,0.03,research,6,105630.1873,0.041526,0.040331,0.001195
corpus_calibrated_softmax,0.03,policy,6,47.617842,0.019388,0.003664,0.015724
corpus_calibrated_softmax,0.03,research,7,221939.59637,0.087251,0.08369,0.003561
corpus_calibrated_softmax,0.03,policy,7,71.022859,0.028918,0.004072,0.024846
corpus_calibrated_softmax,0.03,research,8,50256.666704,0.019757,0.014762,0.004995
corpus_calibrated_softmax,0.03,policy,8,17.591631,0.007163,0.00285,0.004313
corpus_calibrated_softmax,0.03,research,9,146696.175277,0.05767,0.102461,-0.044791
corpus_calibrated_softmax,0.03,policy,9,76.685927,0.031224,0.023616,0.007608
corpus_calibrated_softmax,0.03,research,10,121090.599581,0.047604,0.009385,0.038219
corpus_calibrated_softmax,0.03,policy,10,24.250078,0.009874,0.0,0.009874
corpus_calibrated_softmax,0.03,research,11,138607.435434,0.054491,0.054506,-1.5e-05
corpus_calibrated_softmax,0.03,policy,11,34.896953,0.014209,0.027687,-0.013478
corpus_calibrated_softmax,0.03,research,12,89806.197146,0.035305,0.037263,-0.001958
corpus_calibrated_softmax,0.03,policy,12,25.833495,0.010519,0.002443,0.008076
corpus_calibrated_softmax,0.03,research,13,68728.462513,0.027019,0.052316,-0.025297
corpus_calibrated_softmax,0.03,policy,13,430.028396,0.175093,0.354642,-0.179549
corpus_calibrated_softmax,0.03,research,14,144011.386854,0.056615,0.03884,0.017775
corpus_calibrated_softmax,0.03,policy,14,78.33564,0.031896,0.001221,0.030675
corpus_calibrated_softmax,0.03,research,15,143078.476331,0.056248,0.074239,-0.017991
corpus_calibrated_softmax,0.03,policy,15,70.53688,0.02872,0.008143,0.020577
corpus_calibrated_softmax,0.03,research,16,289536.741412,0.113825,0.084023,0.029802
corpus_calibrated_softmax,0.03,policy,16,1078.893939,0.439289,0.197476,0.241813
corpus_calibrated_softmax,0.03,research,17,37905.395946,0.014902,0.027271,-0.012369
corpus_calibrated_softmax,0.03,policy,17,161.908347,0.065924,0.344463,-0.278539
corpus_calibrated_softmax,0.05,research,1,47273.423271,0.018585,0.006905,0.01168
corpus_calibrated_softmax,0.05,policy,1,39.396567,0.016041,0.008958,0.007083
