variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.2,research,8,139995.806715,0.055036,0.014762,0.040274
raw_softmax,0.2,policy,8,111.358438,0.045341,0.00285,0.042491
raw_softmax,0.2,research,9,169651.890953,0.066695,0.102461,-0.035766
raw_softmax,0.2,policy,9,131.415425,0.053508,0.023616,0.029892
raw_softmax,0.2,research,10,120245.409267,0.047272,0.009385,0.037887
raw_softmax,0.2,policy,10,105.818419,0.043086,0.0,0.043086
raw_softmax,0.2,research,11,151739.155298,0.059653,0.054506,0.005147
raw_softmax,0.2,policy,11,130.619618,0.053184,0.027687,0.025497
raw_softmax,0.2,research,12,153157.278288,0.06021,0.037263,0.022947
raw_softmax,0.2,policy,12,138.203264,0.056272,0.002443,0.053829
raw_softmax,0.2,research,13,162547.705143,0.063902,0.052316,0.011586
raw_softmax,0.2,policy,13,269.435428,0.109705,0.354642,-0.244937
raw_softmax,0.2,research,14,143734.51445,0.056506,0.03884,0.017666
raw_softmax,0.2,policy,14,117.097985,0.047678,0.001221,0.046457
raw_softmax,0.2,research,15,160769.261814,0.063203,0.074239,-0.011036
raw_softmax,0.2,policy,15,151.917773,0.061856,0.008143,0.053713
raw_softmax,0.2,research,16,144018.305517,0.056618,0.084023,-0.027405
raw_softmax,0.2,policy,16,216.608576,0.088196,0.197476,-0.10928
raw_softmax,0.2,research,17,159321.854299,0.062634,0.027271,0.035363
raw_softmax,0.2,policy,17,286.259331,0.116555,0.344463,-0.227908
corpus_calibrated_softmax,0.03,research,1,45911.495047,0.018049,0.006905,0.011144
corpus_calibrated_softmax,0.03,policy,1,42.138282,0.017157,0.008958,0.008199
corpus_calibrated_softmax,0.03,research,2,103506.157392,0.040691,0.034102,0.006589
corpus_calibrated_softmax,0.03,policy,2,61.916763,0.02521,0.003664,0.021546
corpus_calibrated_softmax,0.03,research,3,451679.445023,0.177568,0.178626,-0.001058
corpus_calibrated_softmax,0.03,policy,3,75.388422,0.030696,0.003664,0.027032
corpus_calibrated_softmax,0.03,research,4,293481.648829,0.115376,0.138383,-0.023007
corpus_calibrated_softmax,0.03,policy,4,63.022009,0.02566,0.002036,0.023624
corpus_calibrated_softmax,0.03,research,5,91812.608659,0.036094,0.022897,0.013197
corpus_calibrated_softmax,0.03,policy,5,106.690587,0.043441,0.011401,0.03204
corpus_calibrated_softmax,0.03,research,6,105630.1873,0.041526,0.040331,0.001195
corpus_calibrated_softmax,0.03,policy,6,47.762067,0.019447,0.003664,0.015783
corpus_calibrated_softmax,0.03,research,7,221939.59637,0.087251,0.08369,0.003561
corpus_calibrated_softmax,0.03,policy,7,69.622049,0.028348,0.004072,0.024276
corpus_calibrated_softmax,0.03,research,8,50256.666704,0.019757,0.014762,0.004995
corpus_calibrated_softmax,0.03,policy,8,20.373608,0.008295,0.00285,0.005445
corpus_calibrated_softmax,0.03,research,9,146696.175277,0.05767,0.102461,-0.044791
corpus_calibrated_softmax,0.03,policy,9,76.069351,0.030973,0.023616,0.007357
corpus_calibrated_softmax,0.03,research,10,121090.599581,0.047604,0.009385,0.038219
corpus_calibrated_softmax,0.03,policy,10,23.794483,0.009688,0.0,0.009688
corpus_calibrated_softmax,0.03,research,11,138607.435434,0.054491,0.054506,-1.5e-05
corpus_calibrated_softmax,0.03,policy,11,35.07611,0.014282,0.027687,-0.013405
corpus_calibrated_softmax,0.03,research,12,89806.197146,0.035305,0.037263,-0.001958
corpus_calibrated_softmax,0.03,policy,12,24.942619,0.010156,0.002443,0.007713
corpus_calibrated_softmax,0.03,research,13,68728.462513,0.027019,0.052316,-0.025297
corpus_calibrated_softmax,0.03,policy,13,422.183153,0.171899,0.354642,-0.182743
corpus_calibrated_softmax,0.03,research,14,144011.386854,0.056615,0.03884,0.017775
corpus_calibrated_softmax,0.03,policy,14,83.882182,0.034154,0.001221,0.032933
corpus_calibrated_softmax,0.03,research,15,143078.476331,0.056248,0.074239,-0.017991
corpus_calibrated_softmax,0.03,policy,15,70.496362,0.028704,0.008143,0.020561
corpus_calibrated_softmax,0.03,research,16,289536.741412,0.113825,0.084023,0.029802
corpus_calibrated_softmax,0.03,policy,16,1001.126462,0.407625,0.197476,0.210149
corpus_calibrated_softmax,0.03,research,17,37905.395946,0.014902,0.027271,-0.012369
corpus_calibrated_softmax,0.03,policy,17,231.514197,0.094265,0.344463,-0.250198
corpus_calibrated_softmax,0.05,research,1,47273.423271,0.018585,0.006905,0.01168
corpus_calibrated_softmax,0.05,policy,1,42.000909,0.017101,0.008958,0.008143
corpus_calibrated_softmax,0.05,research,2,103812.27873,0.040812,0.034102,0.00671
corpus_calibrated_softmax,0.05,policy,2,62.204774,0.025328,0.003664,0.021664
corpus_calibrated_softmax,0.05,research,3,449430.306259,0.176684,0.178626,-0.001942
corpus_calibrated_softmax,0.05,policy,3,75.634379,0.030796,0.003664,0.027132
corpus_calibrated_softmax,0.05,research,4,293356.225157,0.115327,0.138383,-0.023056
corpus_calibrated_softmax,0.05,policy,4,63.060034,0.025676,0.002036,0.02364
corpus_calibrated_softmax,0.05,research,5,92588.399204,0.036399,0.022897,0.013502
corpus_calibrated_softmax,0.05,policy,5,106.680568,0.043437,0.011401,0.032036
