variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
corpus_calibrated_softmax,0.1,research,3,442913.597923,0.174122,0.185017,-0.010895
corpus_calibrated_softmax,0.1,policy,3,75.438917,0.030716,0.004072,0.026644
corpus_calibrated_softmax,0.1,research,4,300917.759225,0.118299,0.139844,-0.021545
corpus_calibrated_softmax,0.1,policy,4,64.849489,0.026405,0.001629,0.024776
corpus_calibrated_softmax,0.1,research,5,104631.518253,0.041134,0.021127,0.020007
corpus_calibrated_softmax,0.1,policy,5,107.07473,0.043597,0.007736,0.035861
corpus_calibrated_softmax,0.1,research,6,102891.379928,0.04045,0.035663,0.004787
corpus_calibrated_softmax,0.1,policy,6,46.243848,0.018829,0.004072,0.014757
corpus_calibrated_softmax,0.1,research,7,219297.773929,0.086212,0.078132,0.00808
corpus_calibrated_softmax,0.1,policy,7,71.432223,0.029085,0.004072,0.025013
corpus_calibrated_softmax,0.1,research,8,63360.920231,0.024909,0.016471,0.008438
corpus_calibrated_softmax,0.1,policy,8,22.812819,0.009289,0.009772,-0.000483
corpus_calibrated_softmax,0.1,research,9,144285.761773,0.056723,0.097248,-0.040525
corpus_calibrated_softmax,0.1,policy,9,74.23398,0.030226,0.02443,0.005796
corpus_calibrated_softmax,0.1,research,10,86467.537565,0.033993,0.00799,0.026003
corpus_calibrated_softmax,0.1,policy,10,24.746854,0.010076,0.000407,0.009669
corpus_calibrated_softmax,0.1,research,11,141662.652978,0.055692,0.053708,0.001984
corpus_calibrated_softmax,0.1,policy,11,36.510265,0.014866,0.02728,-0.012414
corpus_calibrated_softmax,0.1,research,12,83097.892693,0.032668,0.035759,-0.003091
corpus_calibrated_softmax,0.1,policy,12,24.766337,0.010084,0.004479,0.005605
corpus_calibrated_softmax,0.1,research,13,76318.744634,0.030003,0.043498,-0.013495
corpus_calibrated_softmax,0.1,policy,13,409.946386,0.166916,0.250407,-0.083491
corpus_calibrated_softmax,0.1,research,14,142772.013032,0.056128,0.038983,0.017145
corpus_calibrated_softmax,0.1,policy,14,84.862586,0.034553,0.001629,0.032924
corpus_calibrated_softmax,0.1,research,15,149958.045215,0.058953,0.068973,-0.01002
corpus_calibrated_softmax,0.1,policy,15,70.550531,0.028726,0.006922,0.021804
corpus_calibrated_softmax,0.1,research,16,256047.899173,0.10066,0.074319,0.026341
corpus_calibrated_softmax,0.1,policy,16,994.061217,0.404748,0.145358,0.25939
corpus_calibrated_softmax,0.1,research,17,81090.954861,0.031879,0.065825,-0.033946
corpus_calibrated_softmax,0.1,policy,17,243.369676,0.099092,0.481678,-0.382586
corpus_calibrated_softmax,0.2,research,1,59265.287186,0.023299,0.00464,0.018659
corpus_calibrated_softmax,0.2,policy,1,44.774208,0.018231,0.017915,0.000316
corpus_calibrated_softmax,0.2,research,2,112451.773092,0.044208,0.032803,0.011405
corpus_calibrated_softmax,0.2,policy,2,63.683528,0.02593,0.008143,0.017787
corpus_calibrated_softmax,0.2,research,3,398603.860931,0.156703,0.185017,-0.028314
corpus_calibrated_softmax,0.2,policy,3,75.795914,0.030862,0.004072,0.02679
corpus_calibrated_softmax,0.2,research,4,294493.722337,0.115774,0.139844,-0.02407
corpus_calibrated_softmax,0.2,policy,4,65.401293,0.026629,0.001629,0.025
corpus_calibrated_softmax,0.2,research,5,115817.603784,0.045531,0.021127,0.024404
corpus_calibrated_softmax,0.2,policy,5,108.058263,0.043998,0.007736,0.036262
corpus_calibrated_softmax,0.2,research,6,110822.333166,0.043567,0.035663,0.007904
corpus_calibrated_softmax,0.2,policy,6,49.51943,0.020163,0.004072,0.016091
corpus_calibrated_softmax,0.2,research,7,208651.554323,0.082027,0.078132,0.003895
corpus_calibrated_softmax,0.2,policy,7,76.144782,0.031004,0.004072,0.026932
corpus_calibrated_softmax,0.2,research,8,75997.597935,0.029877,0.016471,0.013406
corpus_calibrated_softmax,0.2,policy,8,24.661218,0.010041,0.009772,0.000269
corpus_calibrated_softmax,0.2,research,9,141866.91839,0.055772,0.097248,-0.041476
corpus_calibrated_softmax,0.2,policy,9,72.80596,0.029644,0.02443,0.005214
corpus_calibrated_softmax,0.2,research,10,90268.31806,0.035487,0.00799,0.027497
corpus_calibrated_softmax,0.2,policy,10,30.160861,0.01228,0.000407,0.011873
corpus_calibrated_softmax,0.2,research,11,139716.558821,0.054927,0.053708,0.001219
corpus_calibrated_softmax,0.2,policy,11,39.185277,0.015955,0.02728,-0.011325
corpus_calibrated_softmax,0.2,research,12,91118.91173,0.035821,0.035759,6.2e-05
corpus_calibrated_softmax,0.2,policy,12,31.179976,0.012695,0.004479,0.008216
corpus_calibrated_softmax,0.2,research,13,86274.995096,0.033917,0.043498,-0.009581
corpus_calibrated_softmax,0.2,policy,13,383.848666,0.15629,0.250407,-0.094117
corpus_calibrated_softmax,0.2,research,14,142958.607494,0.056201,0.038983,0.017218
corpus_calibrated_softmax,0.2,policy,14,89.635334,0.036496,0.001629,0.034867
corpus_calibrated_softmax,0.2,research,15,151668.354039,0.059625,0.068973,-0.009348
corpus_calibrated_softmax,0.2,policy,15,79.474126,0.032359,0.006922,0.025437
corpus_calibrated_softmax,0.2,research,16,236893.470581,0.09313,0.074319,0.018811
corpus_calibrated_softmax,0.2,policy,16,965.654942,0.393182,0.145358,0.247824
corpus_calibrated_softmax,0.2,research,17,86709.87484,0.034088,0.065825,-0.031737
corpus_calibrated_softmax,0.2,policy,17,256.014886,0.104241,0.481678,-0.377437
